Condition,Participant,SP_mean,INV_mean,REAL_mean,Overall_Presence_mean
1,1,6.0,5.75,5.666666666666667,5.805555555555556
2,2,6.0,6.0,5.333333333333333,5.777777777777778
1,3,4.0,5.25,4.166666666666667,4.472222222222222
1,4,5.333333333333333,6.0,2.6666666666666665,4.666666666666666
0,5,4.25,4.25,2.6666666666666665,3.722222222222222
2,6,4.583333333333333,2.5,2.0,3.0277777777777772
2,7,4.75,2.125,1.5,2.7916666666666665
1,8,1.1666666666666667,1.75,0.3333333333333333,1.0833333333333335
0,9,3.0,4.75,3.0,3.5833333333333335
2,10,2.75,4.5,1.0,2.75
1,11,5.5,5.5,3.6666666666666665,4.888888888888888
2,12,5.166666666666667,2.5,1.5,3.055555555555556
1,13,2.75,5.5,1.0,3.0833333333333335
2,14,4.333333333333333,5.75,4.166666666666667,4.75
1,15,5.0,6.0,3.1666666666666665,4.722222222222222
1,16,5.0,4.75,3.1666666666666665,4.305555555555555
2,17,5.0,2.5,2.1666666666666665,3.222222222222222
0,18,5.333333333333333,5.25,1.5,4.027777777777778
2,19,5.833333333333333,4.75,3.1666666666666665,4.583333333333333
0,20,3.3333333333333335,1.625,1.5,2.152777777777778
0,21,3.3333333333333335,2.0,0.6666666666666666,2.0000000000000004
0,22,5.5,5.75,3.6666666666666665,4.972222222222222
1,23,5.333333333333333,5.5,3.0,4.611111111111111
0,24,3.8333333333333335,2.125,1.5,2.486111111111111
2,25,4.333333333333333,5.125,0.3333333333333333,3.263888888888889
0,26,4.583333333333333,4.0,2.5,3.694444444444444
0,27,4.083333333333333,1.0,1.6666666666666667,2.25
2,28,6.0,4.25,2.5,4.25
1,29,3.0833333333333335,1.75,1.0,1.9444444444444446
2,30,5.0,4.75,4.166666666666667,4.638888888888889
1,31,4.833333333333333,4.75,3.0,4.194444444444444
2,32,1.9166666666666667,0.5,1.0,1.138888888888889
1,33,3.0,4.0,2.5,3.1666666666666665
0,34,3.8333333333333335,3.25,0.6666666666666666,2.5833333333333335
0,35,3.1666666666666665,4.875,1.5,3.1805555555555554
0,36,4.416666666666667,4.625,2.0,3.680555555555556
2,37,5.333333333333333,4.0,3.1666666666666665,4.166666666666666
1,38,5.666666666666667,3.875,1.0,3.5138888888888893
0,39,3.5833333333333335,1.0,2.0,2.1944444444444446
0,40,5.333333333333333,3.75,0.3333333333333333,3.138888888888889
2,41,3.6666666666666665,2.0,2.1666666666666665,2.6111111111111107
1,42,5.833333333333333,4.25,3.6666666666666665,4.583333333333333
